,sdr,isr,sir,sar
0,10.453883,24.515713,30.18362,17.600405
1,11.275395,29.85438,31.730934,17.644438
2,9.130087,21.724205,26.998083,15.78047
3,9.098557,30.755383,34.273033,22.85498
4,14.005281,23.522028,30.604525,16.662693
5,9.349783,15.477999,22.383379,11.908775
6,9.34525,20.522383,25.997355,14.820608
7,10.522045,27.80449,30.631893,18.803432
8,8.40045,20.520426,25.124153,15.494614
9,7.6124573,22.671923,24.335316,13.907725
10,9.442532,23.650917,27.966175,16.418842
11,14.900112,28.990297,35.424023,17.579342
12,11.667961,20.603016,27.990633,15.10462
13,5.7904243,26.501392,23.480494,15.339166
14,11.162905,24.449883,31.722656,17.689312
15,8.300588,23.96293,28.927574,19.200445
16,7.88311,22.116795,24.611664,13.787552
17,8.013051,26.361805,30.39578,18.922546
18,7.0384483,19.686344,24.590155,15.135758
19,11.367291,17.989346,26.313911,13.8899975
20,11.601878,18.463974,28.63226,14.364221
21,10.169173,27.350668,28.457003,19.374537
22,5.3647738,21.783026,25.428902,17.651352
23,6.918651,26.815866,30.90151,19.253065
24,14.071544,24.79651,33.26816,18.51029
25,7.715227,20.515022,28.180567,15.679405
26,11.708396,25.124722,32.117226,19.154556
27,8.217225,21.351961,29.368435,17.638039
28,8.1592,23.168947,30.687847,16.931498
29,11.35769,31.705662,28.307697,14.393799
30,7.572951,23.150652,26.58768,18.258646
31,11.067102,20.26752,29.356232,17.685785
32,9.102025,20.92924,26.78682,15.006315
33,8.196645,24.947386,29.976187,19.574131
34,11.846659,22.52333,29.356876,17.321085
35,10.773068,18.678364,28.784006,14.618125
36,12.7968235,19.590523,27.42511,14.907518
37,5.4999228,30.118383,23.388828,14.78727
38,9.913178,22.740665,27.295544,16.27324
39,8.502993,27.311985,25.82889,14.202317
40,10.361734,21.55363,27.445427,14.897303
41,6.5078197,20.44335,23.88853,14.748186
42,11.244612,24.674818,29.429361,16.113777
43,8.595884,16.323786,23.624062,12.2476225
44,8.407332,27.05077,27.617523,16.911482
45,7.150497,26.696861,26.914198,16.699533
46,10.284432,22.03276,12.959103,11.247541
47,8.841755,26.614271,28.305967,16.778156
48,-0.35018122,43.451164,54.382576,44.155228
49,-0.621643,29.755802,29.19023,32.62217
