,sdr,isr,sir,sar
0,10.453883,24.1402,17.941961,11.388532
1,11.275395,26.248392,24.08691,12.016906
2,9.130087,21.563894,16.3782,10.394339
3,9.098557,22.541739,19.026161,9.977736
4,14.005281,27.75703,22.815287,14.489829
5,9.349783,22.412657,13.691675,11.289724
6,9.34525,22.35002,15.055348,10.37032
7,10.522045,24.000217,20.817171,11.285624
8,8.40045,19.696342,14.6116905,9.711179
9,7.6124573,18.87434,16.770771,8.390347
10,9.442532,22.07299,18.331211,10.288348
11,14.900112,33.451916,26.738564,15.533343
12,11.667961,25.984459,17.613604,12.854897
13,5.7904243,15.165516,17.145723,6.315464
14,11.162905,25.863749,18.95777,11.942425
15,8.300588,20.136175,14.391628,9.477016
16,7.88311,20.654325,17.011587,8.905467
17,8.013051,18.606337,16.98224,8.824859
18,7.0384483,18.098398,11.977328,8.530121
19,11.367291,25.744162,16.295391,12.770195
20,11.601878,27.876501,16.519016,13.177054
21,10.169173,20.706879,19.04202,11.065969
22,5.3647738,15.145516,10.719088,6.5481853
23,6.918651,19.354813,16.39341,7.6639867
24,14.071544,30.074415,20.997461,14.874198
25,7.715227,21.469666,15.303667,9.611627
26,11.708396,25.854189,18.571074,12.904448
27,8.217225,20.39118,14.284546,9.126907
28,8.1592,23.583153,15.947301,8.828125
29,11.35769,25.220379,28.667324,11.637871
30,7.572951,17.730223,13.233715,8.630399
31,11.067102,24.41273,15.358259,13.0155945
32,9.102025,22.229494,15.993618,9.969642
33,8.196645,20.714449,15.776254,9.517601
34,11.846659,25.136059,18.557446,13.070011
35,10.773068,25.69451,15.575369,12.003162
36,12.7968235,27.40577,17.471592,14.210901
37,5.4999228,15.770836,21.47609,5.632287
38,9.913178,22.423935,18.438295,10.91734
39,8.502993,21.136408,22.261528,9.083483
40,10.361734,23.62556,18.40136,11.593688
41,6.5078197,17.73668,12.752319,7.7804193
42,11.244612,25.783825,20.862816,12.316927
43,8.595884,22.579876,13.641508,9.842505
44,8.407332,20.620367,20.306837,9.08117
45,7.150497,19.928877,17.421167,7.7428946
46,10.284432,6.566529,14.408394,6.036997
47,8.841755,22.05622,20.331778,9.377015
48,-0.35018122,4.321957,-20.603117,0.039534822
49,-0.621643,6.2191424,-1.5560979,0.27630976
