,sdr,isr,sir,sar
0,10.79839,25.481499,30.216753,18.066721
1,11.246613,30.037964,31.784224,17.789055
2,9.938915,23.203989,27.680355,16.204641
3,11.022504,31.869656,35.99692,23.784931
4,13.640343,23.542652,30.922838,16.450762
5,9.374059,15.8945055,22.54586,11.8864355
6,9.294362,20.732237,25.806948,14.60908
7,10.618495,28.421757,31.576769,19.613482
8,8.514126,20.621702,25.140266,15.670179
9,7.015908,22.163815,23.69125,13.551026
10,9.138013,23.751945,28.064047,16.252579
11,14.571519,28.47185,35.39413,17.665024
12,11.50401,20.684702,27.734957,15.435363
13,6.4910316,27.551508,25.350119,16.349205
14,10.926746,24.55146,31.554356,17.83302
15,6.5411787,22.235435,25.827219,18.038334
16,7.7730255,21.827097,23.777668,13.816256
17,8.8404665,28.121624,32.008812,19.625322
18,7.2598767,19.902933,24.516165,15.326836
19,11.96649,18.832153,26.987339,14.414431
20,12.063232,18.734629,29.207489,14.712197
21,11.790243,28.937956,31.096313,20.273659
22,5.6693587,22.109621,26.286905,18.028345
23,8.186448,27.954191,32.09969,20.496357
24,14.41227,25.33633,33.991085,19.039831
25,7.8393,20.659128,28.270485,15.768438
26,12.18983,25.951454,33.88422,19.924152
27,9.463051,22.105646,32.63793,18.305517
28,7.559195,22.44249,29.911865,16.401094
29,12.172508,32.88156,29.80049,15.380669
30,7.6953306,23.781565,26.989046,18.352823
31,13.267638,24.90933,35.615376,21.216915
32,8.751427,20.597532,26.50322,15.214121
33,8.668654,25.435034,29.852888,19.746855
34,11.286991,22.124016,28.718279,16.952806
35,9.841749,17.41022,26.844065,13.806895
36,14.743403,22.305344,31.529427,17.092695
37,5.7484064,30.27808,23.479755,14.70469
38,9.382025,22.29125,26.463896,16.204006
39,9.204428,28.474642,27.586111,14.720275
40,10.998154,22.640291,28.524565,15.443455
41,6.963369,21.314896,24.965925,14.934659
42,12.287686,26.10895,31.21806,16.849567
43,8.509413,16.574091,24.238277,12.119599
44,8.859923,27.63179,28.52301,17.126347
45,7.569191,27.401827,28.100012,16.959404
46,10.134076,22.86678,8.800926,8.367308
47,9.35528,27.185257,28.987097,17.233263
48,0.3463972,44.139317,54.5332,45.032852
49,-0.30132085,30.434877,29.332096,35.81582
