,sdr,isr,sir,sar
0,10.79839,24.327885,19.077225,11.482029
1,11.246613,26.356964,24.137241,11.702478
2,9.938915,22.664932,17.738485,10.590687
3,11.022504,25.092562,21.120207,11.877251
4,13.640343,27.696613,22.259264,14.476226
5,9.374059,22.394356,14.087899,11.075623
6,9.294362,22.541544,15.716753,10.204858
7,10.618495,24.219606,21.123796,11.408527
8,8.514126,19.753132,14.650682,9.720349
9,7.015908,18.231075,16.07831,7.883032
10,9.138013,21.981962,18.545362,9.904904
11,14.571519,33.49616,26.389334,15.326013
12,11.50401,25.79249,17.651596,12.551716
13,6.4910316,16.961231,18.356478,6.863689
14,10.926746,25.890728,18.727633,11.753175
15,6.5411787,17.607822,12.256863,7.946874
16,7.7730255,19.829115,16.703865,8.655248
17,8.8404665,21.05726,18.730106,9.39148
18,7.2598767,18.071913,12.240974,8.584116
19,11.96649,26.25885,17.207722,13.41019
20,12.063232,28.295292,16.941914,13.520553
21,11.790243,23.31745,20.727962,12.346059
22,5.6693587,15.900874,11.013272,6.8651695
23,8.186448,22.619411,17.47916,8.042463
24,14.41227,30.705154,21.688374,15.340929
25,7.8393,21.920254,14.915561,9.733631
26,12.18983,27.045263,19.512547,13.2263975
27,9.463051,25.719475,15.285219,9.813303
28,7.559195,23.031548,15.130048,8.303443
29,12.172508,26.497545,29.643661,12.413985
30,7.6953306,18.108591,13.682789,8.663317
31,13.267638,28.988384,18.518295,14.752551
32,8.751427,21.954748,15.744904,9.921122
33,8.668654,21.15182,16.027971,9.950238
34,11.286991,24.404442,18.123314,12.2194395
35,9.841749,24.30609,14.232726,11.039002
36,14.743403,30.833485,20.265718,15.634891
37,5.7484064,16.019234,21.779928,5.83557
38,9.382025,21.895182,17.7031,10.478209
39,9.204428,22.803461,23.12653,9.627546
40,10.998154,24.540808,18.824516,11.932879
41,6.963369,18.95202,13.815071,7.9689603
42,12.287686,27.789959,21.963665,13.01931
43,8.509413,22.931536,14.192926,9.84426
44,8.859923,21.160913,20.988281,9.395502
45,7.569191,20.5328,18.320326,8.239979
46,10.134076,2.7185853,12.261633,4.171368
47,9.35528,23.133715,21.024307,9.873188
48,0.3463972,4.7962317,-18.56741,0.025238542
49,-0.30132085,6.628858,1.5309535,0.3902702
