,sdr,isr,sir,sar
0,-5.4993353,36.49774,inf,-5.5242534
1,-5.199233,32.925743,inf,-5.1394486
2,-4.753008,33.31719,inf,-4.7632375
3,-10.447646,24.58202,inf,-10.415347
4,-1.6848634,38.446438,inf,-1.6898744
5,-1.3722118,33.75041,inf,-1.4304754
6,-4.215939,28.099058,inf,-4.2312636
7,-6.533738,31.177725,inf,-6.5155063
8,-5.4356127,31.586706,inf,-5.448366
9,-4.5182667,28.71364,inf,-4.489738
10,-5.0212746,30.863813,inf,-5.048335
11,-1.2643691,35.93209,inf,-1.2194133
12,-2.5930743,34.060394,inf,-2.5619948
13,-8.308576,29.721972,inf,-8.314292
14,-5.2763305,31.436834,inf,-5.3389783
15,-8.448694,24.528011,inf,-8.516131
16,-4.3088636,29.46359,inf,-4.3114257
17,-8.745629,28.01273,inf,-8.666237
18,-6.8588643,28.042118,inf,-6.8655596
19,-1.7359469,35.482838,inf,-1.7443008
20,-1.6490103,38.990078,inf,-1.6074195
21,-8.18228,24.527365,inf,-8.016773
22,-10.539933,28.379742,inf,-10.552378
23,-10.114991,28.18106,inf,-9.988473
24,-3.6568651,39.894833,inf,-3.6491103
25,-4.4453893,29.56175,inf,-4.4496512
26,-5.8388934,31.563732,inf,-5.8431654
27,-6.534826,37.260075,inf,-6.495361
28,-7.6526337,25.332632,inf,-7.5940275
29,-2.9280725,30.995436,inf,-2.936719
30,-9.072327,31.41061,inf,-9.102968
31,-6.302396,30.297945,inf,-6.302897
32,-4.727258,34.157562,inf,-4.697892
33,-8.822624,31.580767,inf,-8.824933
34,-3.5726187,19.609274,inf,-3.559999
35,-2.834416,32.118008,inf,-2.8032587
36,-1.5211914,38.361156,inf,-1.5094512
37,-7.687652,9.701976,inf,-7.123181
38,-3.3127153,28.782976,inf,-3.2573516
39,-4.6116066,29.78281,inf,-4.572344
40,-3.302589,28.303118,inf,-3.370621
41,-6.6104355,26.232327,inf,-6.4833293
42,-3.600427,36.31329,inf,-3.5982654
43,-2.054765,33.28787,inf,-2.032665
44,-6.109375,28.552097,inf,-6.107949
45,-7.9578686,30.439262,inf,-7.8883433
46,-3.8797762,-8.390993,inf,-0.8015305
47,-6.4180446,30.952593,inf,-6.3722196
48,-61.618694,-14.14713,inf,-47.291473
49,-34.284435,-1.6123649,inf,-32.07337
